driver_name,driver_id,category,issue,action,priority,potential_gain,estimated_new_lap,current_best_lap,confidence,impact_score,skill_level
GR86-022-13,13,Average Speed Optimization,Average speed 10.3 km/h below your best lap (129.4 vs 139.7 km/h),Focus on minimum corner speeds. Every 1 km/h gained through corners = 0.08s per lap. Target: 139.7 km/h average.,HIGH,3.50-5.25s,95.730s,100.101s,High,4.371,Intermediate
GR86-022-13,13,Maximum Speed Development,Top speed of 139.7 km/h suggests exit speed or straight-line issues,Focus on corner exit acceleration. Better exits = higher top speeds. Also check if you're short-shifting.,MEDIUM,0.20-0.40s,99.801s,100.101s,Medium,0.180,Intermediate
GR86-022-13,13,Shift Point Optimization,Shifting at 6477 RPM. GR86 optimal shift point is 7100 RPM.,Shift 623 RPM later on main straight and Turn 2 exit. Use shift light as reference. Power curve remains strong to 7100 RPM.,MEDIUM,0.20-0.35s,99.826s,100.101s,Medium,0.165,Intermediate
GR86-022-13,13,Cornering Speed Development,Lateral G-force of 0.20g is 0.80g below GR86 capability on slicks (1.0g threshold).,Critical: Increase corner entry speed by 5 km/h at Turn 3 and Turn 4. Build confidence progressively over 3 sessions. The GR86 on slicks can sustain 1.0g+ in steady-state cornering.,HIGH,0.25-0.40s,99.776s,100.101s,High,0.325,Intermediate
GR86-022-13,13,Corner Exit Acceleration,Exit acceleration of 0.03g is below GR86 potential.,"Critical: Apply 50% throttle at Turn 2 apex, building to 100% by track-out. The GR86 requires aggressive exits to compensate for lower power. Every 0.1g improvement = 0.15s per lap.",HIGH,0.25-0.38s,99.788s,100.101s,High,0.312,Intermediate
GR86-022-13,13,Apex Consistency,Combined throttle (±19.3%) and speed (±17.8 km/h) variance indicates inconsistent apex positioning.,Standardize apex points at Turn 3 and Turn 4. Use inside curbing as reference. Consistent apex = consistent exit = consistent lap times.,MEDIUM,0.35-0.60s,99.626s,100.101s,MEDIUM,0.285,Intermediate
GR86-022-13,13,Overall Consistency,"Input variance (Speed: ±17.8 km/h, Throttle: ±19.3%) is the primary performance limiter.","Mandatory: Establish 3 reference points per corner - brake marker (100m board), turn-in point (apex curbing), throttle point (track-out). Consistency is the foundation of speed. All other improvements are meaningless without this.",HIGH,0.25-0.45s,99.751s,100.101s,High,0.350,Intermediate
GR86-022-13,13,Input Smoothness,"Abrupt input changes detected (Throttle: ±19.3%, Brake: ±1.8%).",Practice progressive inputs. Throttle: 0% to 100% over 1.5 seconds. Brake: 100% to 0% over 1.0 second. Smooth inputs = predictable car behavior.,MEDIUM,0.30-0.50s,99.701s,100.101s,Medium,0.240,Intermediate
GR86-022-13,13,Weight Transfer Optimization,"G-force profile (Longitudinal: 0.03g, Lateral: 0.20g) suggests conservative weight transfer.","Opportunity: Brake harder initially at Turn 1 to load front, then smoothly transition to throttle to shift weight rear. This improves rotation and exit traction.",MEDIUM,0.25-0.40s,99.776s,100.101s,Medium,0.195,Intermediate
GR86-002-000,0,Threshold Braking Development,Peak brake pressure of 10.1% is below GR86 threshold capability (90%+ with race ABS and Alcon brakes).,Critical: Increase peak braking force by 15% at Turn 1/2 chicane. The GR86 race ABS allows 90-95% pressure without lock-up. Build confidence progressively.,HIGH,0.35-0.60s,99.886s,100.361s,High,0.475,Intermediate
GR86-002-000,0,Full Throttle Utilization,Only 0.0% of lap at full throttle. GR86 requires 55%+ due to lower power output.,Critical: Reach 100% throttle 55% earlier. Focus on Turn 2 exit and Turn 5 exit. Every meter earlier = 0.05s gained on main straight.,HIGH,0.38-0.64s,99.851s,100.361s,High,0.510,Intermediate
GR86-002-000,0,Throttle Application Timing,Throttle application 14.0% below best lap average.,"Apply throttle at apex of Turn 3 and Turn 4. Target: 50% at apex, 75% at mid-exit, 100% at track-out. Current: 64.5%, Target: 78.5%.",HIGH,0.21-0.35s,100.081s,100.361s,High,0.280,Intermediate
GR86-002-000,0,Throttle Consistency,Throttle variance of ±21.5% indicates inconsistent corner exits.,Standardize throttle application points. Use apex curbing as reference for initial 50% application. Smooth progression is critical.,MEDIUM,0.35-0.60s,99.886s,100.361s,MEDIUM,0.285,Intermediate
GR86-002-000,0,Traction Management,Longitudinal acceleration of 0.01g is below GR86 capability on slicks.,"The GR86 torque curve allows aggressive application from 3700 RPM. If losing traction at Turn 2 exit, reduce initial rate by 10%. If no traction loss, increase aggression by 20%.",MEDIUM,0.25-0.40s,100.036s,100.361s,Medium,0.195,Intermediate
GR86-002-000,0,Average Speed Optimization,Average speed 11.7 km/h below your best lap (126.8 vs 138.5 km/h),Focus on minimum corner speeds. Every 1 km/h gained through corners = 0.08s per lap. Target: 138.5 km/h average.,HIGH,4.08-6.12s,95.262s,100.361s,High,5.099,Intermediate
GR86-002-000,0,Maximum Speed Development,Top speed of 139.3 km/h suggests exit speed or straight-line issues,Focus on corner exit acceleration. Better exits = higher top speeds. Also check if you're short-shifting.,MEDIUM,0.20-0.40s,100.061s,100.361s,Medium,0.180,Intermediate
GR86-002-000,0,Shift Point Optimization,Shifting at 6556 RPM. GR86 optimal shift point is 7100 RPM.,Shift 544 RPM later on main straight and Turn 2 exit. Use shift light as reference. Power curve remains strong to 7100 RPM.,MEDIUM,0.20-0.35s,100.086s,100.361s,Medium,0.165,Intermediate
GR86-002-000,0,Cornering Speed Development,Lateral G-force of 0.19g is 0.81g below GR86 capability on slicks (1.0g threshold).,Critical: Increase corner entry speed by 5 km/h at Turn 3 and Turn 4. Build confidence progressively over 3 sessions. The GR86 on slicks can sustain 1.0g+ in steady-state cornering.,HIGH,0.25-0.40s,100.036s,100.361s,High,0.325,Intermediate
GR86-002-000,0,Corner Exit Acceleration,Exit acceleration of 0.01g is below GR86 potential.,"Critical: Apply 50% throttle at Turn 2 apex, building to 100% by track-out. The GR86 requires aggressive exits to compensate for lower power. Every 0.1g improvement = 0.15s per lap.",HIGH,0.25-0.38s,100.049s,100.361s,High,0.312,Intermediate
GR86-002-000,0,Apex Consistency,Combined throttle (±21.5%) and speed (±19.0 km/h) variance indicates inconsistent apex positioning.,Standardize apex points at Turn 3 and Turn 4. Use inside curbing as reference. Consistent apex = consistent exit = consistent lap times.,MEDIUM,0.35-0.60s,99.886s,100.361s,MEDIUM,0.285,Intermediate
GR86-002-000,0,Overall Consistency,"Input variance (Speed: ±19.0 km/h, Throttle: ±21.5%) is the primary performance limiter.","Mandatory: Establish 3 reference points per corner - brake marker (100m board), turn-in point (apex curbing), throttle point (track-out). Consistency is the foundation of speed. All other improvements are meaningless without this.",HIGH,0.25-0.45s,100.011s,100.361s,High,0.350,Intermediate
GR86-002-000,0,Input Smoothness,"Abrupt input changes detected (Throttle: ±21.5%, Brake: ±2.8%).",Practice progressive inputs. Throttle: 0% to 100% over 1.5 seconds. Brake: 100% to 0% over 1.0 second. Smooth inputs = predictable car behavior.,MEDIUM,0.30-0.50s,99.961s,100.361s,Medium,0.240,Intermediate
GR86-002-000,0,Weight Transfer Optimization,"G-force profile (Longitudinal: 0.01g, Lateral: 0.19g) suggests conservative weight transfer.","Opportunity: Brake harder initially at Turn 1 to load front, then smoothly transition to throttle to shift weight rear. This improves rotation and exit traction.",MEDIUM,0.25-0.40s,100.036s,100.361s,Medium,0.195,Intermediate
GR86-036-98,98,Threshold Braking Development,Peak brake pressure of 9.1% is below GR86 threshold capability (90%+ with race ABS and Alcon brakes).,Critical: Increase peak braking force by 15% at Turn 1/2 chicane. The GR86 race ABS allows 90-95% pressure without lock-up. Build confidence progressively.,HIGH,0.35-0.60s,99.623s,100.098s,High,0.475,Intermediate
GR86-036-98,98,Full Throttle Utilization,Only 0.0% of lap at full throttle. GR86 requires 55%+ due to lower power output.,Critical: Reach 100% throttle 55% earlier. Focus on Turn 2 exit and Turn 5 exit. Every meter earlier = 0.05s gained on main straight.,HIGH,0.38-0.64s,99.588s,100.098s,High,0.510,Intermediate
GR86-036-98,98,Throttle Application Timing,Throttle application 10.7% below best lap average.,"Apply throttle at apex of Turn 3 and Turn 4. Target: 50% at apex, 75% at mid-exit, 100% at track-out. Current: 65.5%, Target: 76.1%.",HIGH,0.21-0.35s,99.818s,100.098s,High,0.280,Intermediate
GR86-036-98,98,Throttle Consistency,Throttle variance of ±18.9% indicates inconsistent corner exits.,Standardize throttle application points. Use apex curbing as reference for initial 50% application. Smooth progression is critical.,MEDIUM,0.35-0.60s,99.623s,100.098s,MEDIUM,0.285,Intermediate
GR86-036-98,98,Traction Management,Longitudinal acceleration of 0.01g is below GR86 capability on slicks.,"The GR86 torque curve allows aggressive application from 3700 RPM. If losing traction at Turn 2 exit, reduce initial rate by 10%. If no traction loss, increase aggression by 20%.",MEDIUM,0.25-0.40s,99.773s,100.098s,Medium,0.195,Intermediate
GR86-036-98,98,Average Speed Optimization,Average speed 10.9 km/h below your best lap (128.5 vs 139.4 km/h),Focus on minimum corner speeds. Every 1 km/h gained through corners = 0.08s per lap. Target: 139.4 km/h average.,HIGH,3.74-5.61s,95.423s,100.098s,High,4.675,Intermediate
GR86-036-98,98,Maximum Speed Development,Top speed of 139.4 km/h suggests exit speed or straight-line issues,Focus on corner exit acceleration. Better exits = higher top speeds. Also check if you're short-shifting.,MEDIUM,0.20-0.40s,99.798s,100.098s,Medium,0.180,Intermediate
GR86-036-98,98,Shift Point Optimization,Shifting at 6336 RPM. GR86 optimal shift point is 7100 RPM.,Shift 764 RPM later on main straight and Turn 2 exit. Use shift light as reference. Power curve remains strong to 7100 RPM.,MEDIUM,0.20-0.35s,99.823s,100.098s,Medium,0.165,Intermediate
GR86-036-98,98,Cornering Speed Development,Lateral G-force of 0.19g is 0.81g below GR86 capability on slicks (1.0g threshold).,Critical: Increase corner entry speed by 5 km/h at Turn 3 and Turn 4. Build confidence progressively over 3 sessions. The GR86 on slicks can sustain 1.0g+ in steady-state cornering.,HIGH,0.25-0.40s,99.773s,100.098s,High,0.325,Intermediate
GR86-036-98,98,Corner Exit Acceleration,Exit acceleration of 0.01g is below GR86 potential.,"Critical: Apply 50% throttle at Turn 2 apex, building to 100% by track-out. The GR86 requires aggressive exits to compensate for lower power. Every 0.1g improvement = 0.15s per lap.",HIGH,0.25-0.38s,99.785s,100.098s,High,0.312,Intermediate
GR86-036-98,98,Apex Consistency,Combined throttle (±18.9%) and speed (±18.0 km/h) variance indicates inconsistent apex positioning.,Standardize apex points at Turn 3 and Turn 4. Use inside curbing as reference. Consistent apex = consistent exit = consistent lap times.,MEDIUM,0.35-0.60s,99.623s,100.098s,MEDIUM,0.285,Intermediate
GR86-036-98,98,Overall Consistency,"Input variance (Speed: ±18.0 km/h, Throttle: ±18.9%) is the primary performance limiter.","Mandatory: Establish 3 reference points per corner - brake marker (100m board), turn-in point (apex curbing), throttle point (track-out). Consistency is the foundation of speed. All other improvements are meaningless without this.",HIGH,0.25-0.45s,99.748s,100.098s,High,0.350,Intermediate
GR86-036-98,98,Input Smoothness,"Abrupt input changes detected (Throttle: ±18.9%, Brake: ±2.4%).",Practice progressive inputs. Throttle: 0% to 100% over 1.5 seconds. Brake: 100% to 0% over 1.0 second. Smooth inputs = predictable car behavior.,MEDIUM,0.30-0.50s,99.698s,100.098s,Medium,0.240,Intermediate
GR86-036-98,98,Weight Transfer Optimization,"G-force profile (Longitudinal: 0.01g, Lateral: 0.19g) suggests conservative weight transfer.","Opportunity: Brake harder initially at Turn 1 to load front, then smoothly transition to throttle to shift weight rear. This improves rotation and exit traction.",MEDIUM,0.25-0.40s,99.773s,100.098s,Medium,0.195,Intermediate
GR86-065-5,5,Threshold Braking Development,Peak brake pressure of 8.9% is below GR86 threshold capability (90%+ with race ABS and Alcon brakes).,Critical: Increase peak braking force by 15% at Turn 1/2 chicane. The GR86 race ABS allows 90-95% pressure without lock-up. Build confidence progressively.,HIGH,0.35-0.60s,100.476s,100.951s,High,0.475,Intermediate
GR86-065-5,5,Full Throttle Utilization,Only 0.0% of lap at full throttle. GR86 requires 55%+ due to lower power output.,Critical: Reach 100% throttle 55% earlier. Focus on Turn 2 exit and Turn 5 exit. Every meter earlier = 0.05s gained on main straight.,HIGH,0.38-0.64s,100.441s,100.951s,High,0.510,Intermediate
GR86-065-5,5,Throttle Application Timing,Throttle application 6.3% below best lap average.,"Apply throttle at apex of Turn 3 and Turn 4. Target: 50% at apex, 75% at mid-exit, 100% at track-out. Current: 67.1%, Target: 73.5%.",HIGH,0.21-0.35s,100.671s,100.951s,High,0.280,Intermediate
GR86-065-5,5,Throttle Consistency,Throttle variance of ±15.1% indicates inconsistent corner exits.,Standardize throttle application points. Use apex curbing as reference for initial 50% application. Smooth progression is critical.,MEDIUM,0.35-0.60s,100.476s,100.951s,MEDIUM,0.285,Intermediate
GR86-065-5,5,Traction Management,Longitudinal acceleration of 0.01g is below GR86 capability on slicks.,"The GR86 torque curve allows aggressive application from 3700 RPM. If losing traction at Turn 2 exit, reduce initial rate by 10%. If no traction loss, increase aggression by 20%.",MEDIUM,0.25-0.40s,100.626s,100.951s,Medium,0.195,Intermediate
GR86-065-5,5,Average Speed Optimization,Average speed 9.4 km/h below your best lap (129.4 vs 138.7 km/h),Focus on minimum corner speeds. Every 1 km/h gained through corners = 0.08s per lap. Target: 138.7 km/h average.,HIGH,3.22-4.83s,96.923s,100.951s,High,4.028,Intermediate
GR86-065-5,5,Maximum Speed Development,Top speed of 138.9 km/h suggests exit speed or straight-line issues,Focus on corner exit acceleration. Better exits = higher top speeds. Also check if you're short-shifting.,MEDIUM,0.20-0.40s,100.651s,100.951s,Medium,0.180,Intermediate
GR86-065-5,5,Shift Point Optimization,Shifting at 6301 RPM. GR86 optimal shift point is 7100 RPM.,Shift 799 RPM later on main straight and Turn 2 exit. Use shift light as reference. Power curve remains strong to 7100 RPM.,MEDIUM,0.20-0.35s,100.676s,100.951s,Medium,0.165,Intermediate
GR86-065-5,5,Cornering Speed Development,Lateral G-force of 0.20g is 0.80g below GR86 capability on slicks (1.0g threshold).,Critical: Increase corner entry speed by 5 km/h at Turn 3 and Turn 4. Build confidence progressively over 3 sessions. The GR86 on slicks can sustain 1.0g+ in steady-state cornering.,HIGH,0.25-0.40s,100.626s,100.951s,High,0.325,Intermediate
GR86-065-5,5,Corner Exit Acceleration,Exit acceleration of 0.01g is below GR86 potential.,"Critical: Apply 50% throttle at Turn 2 apex, building to 100% by track-out. The GR86 requires aggressive exits to compensate for lower power. Every 0.1g improvement = 0.15s per lap.",HIGH,0.25-0.38s,100.638s,100.951s,High,0.312,Intermediate
GR86-065-5,5,Apex Consistency,Combined throttle (±15.1%) and speed (±16.0 km/h) variance indicates inconsistent apex positioning.,Standardize apex points at Turn 3 and Turn 4. Use inside curbing as reference. Consistent apex = consistent exit = consistent lap times.,MEDIUM,0.35-0.60s,100.476s,100.951s,MEDIUM,0.285,Intermediate
GR86-065-5,5,Overall Consistency,"Input variance (Speed: ±16.0 km/h, Throttle: ±15.1%) is the primary performance limiter.","Mandatory: Establish 3 reference points per corner - brake marker (100m board), turn-in point (apex curbing), throttle point (track-out). Consistency is the foundation of speed. All other improvements are meaningless without this.",HIGH,0.25-0.45s,100.601s,100.951s,High,0.350,Intermediate
GR86-065-5,5,Weight Transfer Optimization,"G-force profile (Longitudinal: 0.01g, Lateral: 0.20g) suggests conservative weight transfer.","Opportunity: Brake harder initially at Turn 1 to load front, then smoothly transition to throttle to shift weight rear. This improves rotation and exit traction.",MEDIUM,0.25-0.40s,100.626s,100.951s,Medium,0.195,Intermediate
GR86-060-2,2,Threshold Braking Development,Peak brake pressure of 9.6% is below GR86 threshold capability (90%+ with race ABS and Alcon brakes).,Critical: Increase peak braking force by 15% at Turn 1/2 chicane. The GR86 race ABS allows 90-95% pressure without lock-up. Build confidence progressively.,HIGH,0.35-0.60s,100.912s,101.387s,High,0.475,Intermediate
GR86-060-2,2,Full Throttle Utilization,Only 0.0% of lap at full throttle. GR86 requires 55%+ due to lower power output.,Critical: Reach 100% throttle 55% earlier. Focus on Turn 2 exit and Turn 5 exit. Every meter earlier = 0.05s gained on main straight.,HIGH,0.38-0.64s,100.877s,101.387s,High,0.510,Intermediate
GR86-060-2,2,Throttle Application Timing,Throttle application 11.3% below best lap average.,"Apply throttle at apex of Turn 3 and Turn 4. Target: 50% at apex, 75% at mid-exit, 100% at track-out. Current: 63.2%, Target: 74.4%.",HIGH,0.21-0.35s,101.107s,101.387s,High,0.280,Intermediate
GR86-060-2,2,Throttle Consistency,Throttle variance of ±21.0% indicates inconsistent corner exits.,Standardize throttle application points. Use apex curbing as reference for initial 50% application. Smooth progression is critical.,MEDIUM,0.35-0.60s,100.912s,101.387s,MEDIUM,0.285,Intermediate
GR86-060-2,2,Traction Management,Longitudinal acceleration of 0.00g is below GR86 capability on slicks.,"The GR86 torque curve allows aggressive application from 3700 RPM. If losing traction at Turn 2 exit, reduce initial rate by 10%. If no traction loss, increase aggression by 20%.",MEDIUM,0.25-0.40s,101.062s,101.387s,Medium,0.195,Intermediate
GR86-060-2,2,Average Speed Optimization,Average speed 11.5 km/h below your best lap (126.1 vs 137.6 km/h),Focus on minimum corner speeds. Every 1 km/h gained through corners = 0.08s per lap. Target: 137.6 km/h average.,HIGH,4.05-6.08s,96.321s,101.387s,High,5.066,Intermediate
GR86-060-2,2,Maximum Speed Development,Top speed of 138.0 km/h suggests exit speed or straight-line issues,Focus on corner exit acceleration. Better exits = higher top speeds. Also check if you're short-shifting.,MEDIUM,0.20-0.40s,101.087s,101.387s,Medium,0.180,Intermediate
